Source User,Application,Category,Verdict,AD Group,Bytes
example_domain\beth.wallace,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9076142
example_domain\beth.wallace,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,8593278
example_domain\beth.wallace,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,6742160
example_domain\beth.wallace,service-now-base,management,The application is allowed by security rule 'servicenow-app',irrelevant,5000207
example_domain\beth.wallace,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,4733025
example_domain\beth.wallace,github-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4253285
example_domain\beth.wallace,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,3687460
example_domain\beth.wallace,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2970489
example_domain\beth.wallace,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1557326
example_domain\beth.wallace,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,491723
example_domain\beth.wallace,cloudinary-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,280063
example_domain\beth.wallace,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,246159
example_domain\beth.wallace,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,169013
example_domain\beth.wallace,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,140048
example_domain\james.cole,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,11410883577
example_domain\james.cole,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,938769809
example_domain\james.cole,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,677388740
example_domain\james.cole,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,583002224
example_domain\james.cole,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,415261457
example_domain\james.cole,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,405060011
example_domain\james.cole,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,364589970
example_domain\james.cole,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,357791397
example_domain\james.cole,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,127728260
example_domain\james.cole,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,114102043
example_domain\james.cole,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,76921537
example_domain\james.cole,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,60613902
example_domain\james.cole,service-now-base,management,The application is allowed by security rule 'servicenow-app',irrelevant,34655412
example_domain\james.cole,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,30140032
example_domain\james.cole,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,28952773
example_domain\james.cole,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,28529973
example_domain\james.cole,concur-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,19934510
example_domain\james.cole,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,12870325
example_domain\james.cole,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,10279608
example_domain\james.cole,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9150211
example_domain\james.cole,sap,erp-crm,The application is allowed provided the user is in the AD group 'managed-user',managed-user,6711040
example_domain\james.cole,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,5068602
example_domain\james.cole,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2657123
example_domain\james.cole,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1244480
example_domain\james.cole,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,755332
example_domain\james.cole,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,588940
example_domain\james.cole,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,194628
example_domain\james.cole,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,104456
example_domain\james.cole,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,86592
example_domain\tracy.graham,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,12340701960
example_domain\tracy.graham,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,812931296
example_domain\tracy.graham,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,572099031
example_domain\tracy.graham,rtp-audio,audio-streaming,The application is allowed provided the user is in the AD group 'managed-user',managed-user,567538883
example_domain\tracy.graham,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,562506540
example_domain\tracy.graham,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,302988758
example_domain\tracy.graham,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,139054742
example_domain\tracy.graham,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,134713575
example_domain\tracy.graham,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,60423013
example_domain\tracy.graham,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,54753063
example_domain\tracy.graham,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,32701469
example_domain\tracy.graham,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,17444915
example_domain\tracy.graham,service-now-base,management,The application is allowed by security rule 'servicenow-app',irrelevant,16676856
example_domain\tracy.graham,apt-get,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9999143
example_domain\tracy.graham,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,6910798
example_domain\tracy.graham,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,6106147
example_domain\tracy.graham,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5711069
example_domain\tracy.graham,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4683086
example_domain\tracy.graham,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2775391
example_domain\tracy.graham,new-relic,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2305821
example_domain\tracy.graham,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1679568
example_domain\tracy.graham,amazon-aws-console,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1458861
example_domain\tracy.graham,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1134834
example_domain\tracy.graham,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,974428
example_domain\tracy.graham,jira-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,651163
example_domain\tracy.graham,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,586589
example_domain\tracy.graham,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,449469
example_domain\tracy.graham,github-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,330084
example_domain\tracy.graham,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,316421
example_domain\tracy.graham,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,313202
example_domain\tracy.graham,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,188405
example_domain\tracy.graham,pagerduty,management,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,136365
example_domain\tracy.graham,stackoverflow-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,100853
example_domain\tracy.graham,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,50379
example_domain\melissa.blair,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,11409606394
example_domain\melissa.blair,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2009568443
example_domain\melissa.blair,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,763354167
example_domain\melissa.blair,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,414689714
example_domain\melissa.blair,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,270200128
example_domain\melissa.blair,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,167827458
example_domain\melissa.blair,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,137322895
example_domain\melissa.blair,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,111298672
example_domain\melissa.blair,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,98146751
example_domain\melissa.blair,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,78075073
example_domain\melissa.blair,sharepoint-base,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,47523528
example_domain\melissa.blair,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,34547661
example_domain\melissa.blair,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,23305649
example_domain\melissa.blair,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,19880613
example_domain\melissa.blair,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,12932947
example_domain\melissa.blair,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9087776
example_domain\melissa.blair,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,7715018
example_domain\melissa.blair,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,5807562
example_domain\melissa.blair,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,5092866
example_domain\melissa.blair,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3747933
example_domain\melissa.blair,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2371258
example_domain\melissa.blair,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2130842
example_domain\melissa.blair,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,1868376
example_domain\melissa.blair,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1624957
example_domain\melissa.blair,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,780622
example_domain\melissa.blair,vimeo-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,241651
example_domain\melissa.blair,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,191997
example_domain\melissa.blair,zendesk-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,120138
example_domain\melissa.blair,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,65957
example_domain\danielle.hunt,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,11411536176
example_domain\danielle.hunt,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,1304332995
example_domain\danielle.hunt,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1187381562
example_domain\danielle.hunt,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,367720880
example_domain\danielle.hunt,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,339740836
example_domain\danielle.hunt,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,248485573
example_domain\danielle.hunt,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,213571487
example_domain\danielle.hunt,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,196015901
example_domain\danielle.hunt,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,72849807
example_domain\danielle.hunt,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,66255575
example_domain\danielle.hunt,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,50197029
example_domain\danielle.hunt,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,32245632
example_domain\danielle.hunt,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,24767693
example_domain\danielle.hunt,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,23549445
example_domain\danielle.hunt,boxnet-uploading,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,16177509
example_domain\danielle.hunt,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,11906860
example_domain\danielle.hunt,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,11012778
example_domain\danielle.hunt,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,9390995
example_domain\danielle.hunt,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7911712
example_domain\danielle.hunt,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7737655
example_domain\danielle.hunt,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,6576106
example_domain\danielle.hunt,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5522984
example_domain\danielle.hunt,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4474987
example_domain\danielle.hunt,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,4328826
example_domain\danielle.hunt,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,3242161
example_domain\danielle.hunt,vimeo-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2672288
example_domain\danielle.hunt,workday-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1384517
example_domain\danielle.hunt,google-maps,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1289262
example_domain\danielle.hunt,okta,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1100351
example_domain\danielle.hunt,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,972300
example_domain\danielle.hunt,cust-beyond-trust-ssl,remote-access,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,843032
example_domain\danielle.hunt,new-relic,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,375109
example_domain\danielle.hunt,twitter-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,118817
example_domain\danielle.hunt,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,116142
example_domain\barbara.peck,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,10220908765
example_domain\barbara.peck,ms-visual-studio-tfs-base,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3130767426
example_domain\barbara.peck,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,562841144
example_domain\barbara.peck,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,534572648
example_domain\barbara.peck,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,324133980
example_domain\barbara.peck,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,202312494
example_domain\barbara.peck,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,173023785
example_domain\barbara.peck,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,112898067
example_domain\barbara.peck,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,111637727
example_domain\barbara.peck,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,69857638
example_domain\barbara.peck,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,45874578
example_domain\barbara.peck,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,34204765
example_domain\barbara.peck,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,13471090
example_domain\barbara.peck,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,11911272
example_domain\barbara.peck,openai-chatgpt,artificial-intelligence,The application is allowed provided the user is in the AD group 'managed-user',managed-user,10493272
example_domain\barbara.peck,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,8152042
example_domain\barbara.peck,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,7357401
example_domain\barbara.peck,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4653420
example_domain\barbara.peck,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,4436588
example_domain\barbara.peck,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4424227
example_domain\barbara.peck,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2958352
example_domain\barbara.peck,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2551345
example_domain\barbara.peck,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,1955498
example_domain\barbara.peck,jira-uploading,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,461548
example_domain\barbara.peck,openai-base,artificial-intelligence,The application is allowed provided the user is in the AD group 'managed-user',managed-user,84093
example_domain\kaitlyn.sullivan,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,10984405634
example_domain\kaitlyn.sullivan,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1494119002
example_domain\kaitlyn.sullivan,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,1472912246
example_domain\kaitlyn.sullivan,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,795085639
example_domain\kaitlyn.sullivan,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,249781521
example_domain\kaitlyn.sullivan,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,140502050
example_domain\kaitlyn.sullivan,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,133039612
example_domain\kaitlyn.sullivan,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,68882632
example_domain\kaitlyn.sullivan,http-video,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,52170213
example_domain\kaitlyn.sullivan,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,41289205
example_domain\kaitlyn.sullivan,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,32645100
example_domain\kaitlyn.sullivan,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,29292381
example_domain\kaitlyn.sullivan,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,14970853
example_domain\kaitlyn.sullivan,service-now-base,management,The application is allowed by security rule 'servicenow-app',irrelevant,14607093
example_domain\kaitlyn.sullivan,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,11491489
example_domain\kaitlyn.sullivan,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,9006565
example_domain\kaitlyn.sullivan,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,6817801
example_domain\kaitlyn.sullivan,google-app-engine,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,5550862
example_domain\kaitlyn.sullivan,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,4748738
example_domain\kaitlyn.sullivan,new-relic,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,4719442
example_domain\kaitlyn.sullivan,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,3093954
example_domain\kaitlyn.sullivan,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2865675
example_domain\kaitlyn.sullivan,pagerduty,management,"Error during policy testing: Unrecognized application
Error parsing arguments
",unknown,1983027
example_domain\kaitlyn.sullivan,amazon-aws-console,management,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1444447
example_domain\kaitlyn.sullivan,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,938183
example_domain\kaitlyn.sullivan,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,687661
example_domain\kaitlyn.sullivan,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,466885
example_domain\kaitlyn.sullivan,pingone,auth-service,The application is allowed provided the user is in the AD group 'managed-user',managed-user,278333
example_domain\kaitlyn.sullivan,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,250531
example_domain\kaitlyn.sullivan,jira-uploading,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,95360
example_domain\kaitlyn.sullivan,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,82783
example_domain\kaitlyn.sullivan,stackoverflow-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,56441
example_domain\danielle.green,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,10318146660
example_domain\danielle.green,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,1647130277
example_domain\danielle.green,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,861555565
example_domain\danielle.green,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,649907394
example_domain\danielle.green,slack-base,instant-messaging,The application is blocked by security rule 'not-authorized-for-instant-messaging',irrelevant,497375582
example_domain\danielle.green,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,304036957
example_domain\danielle.green,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,262015374
example_domain\danielle.green,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,215998328
example_domain\danielle.green,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,176560855
example_domain\danielle.green,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,151031745
example_domain\danielle.green,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,143647540
example_domain\danielle.green,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,64606387
example_domain\danielle.green,cloudinary-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,33347351
example_domain\danielle.green,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,30938617
example_domain\danielle.green,smartsheet-base,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,30417347
example_domain\danielle.green,ms-onedrive-business,file-sharing,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,27423004
example_domain\danielle.green,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,24761180
example_domain\danielle.green,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,18763757
example_domain\danielle.green,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,18671285
example_domain\danielle.green,windows-push-notifications,internet-utility,The application is allowed by security rule 'endpoint-software-updates',irrelevant,12332683
example_domain\danielle.green,youtube-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,12319481
example_domain\danielle.green,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,11258419
example_domain\danielle.green,ms-delve,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,8374593
example_domain\danielle.green,ms-office365-base,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,6430625
example_domain\danielle.green,linkedin-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,2722933
example_domain\danielle.green,facebook-base,social-networking,The application is allowed provided the user is in the AD group 'managed-user',managed-user,994223
example_domain\danielle.green,stun,infrastructure,The application is blocked by security rule 'blocked-category-low-risk-apps',irrelevant,681088
example_domain\danielle.green,windows-azure-base,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,463871
example_domain\danielle.green,giphy-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,454412
example_domain\danielle.green,boxnet-uploading,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,326624
example_domain\danielle.green,vimeo-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,283907
example_domain\danielle.green,google-maps,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,180175
example_domain\danielle.green,instagram-base,photo-video,The application is allowed provided the user is in the AD group 'managed-user',managed-user,150317
example_domain\kevin.benson,ssl,encrypted-tunnel,The application is allowed by security rule 'break-glass-url',irrelevant,10963763006
example_domain\kevin.benson,outlook-web-online,email,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,2116967729
example_domain\kevin.benson,web-browsing,internet-utility,The application is allowed by security rule 'break-glass-url',irrelevant,622390206
example_domain\kevin.benson,sharepoint-online,social-business,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,439084817
example_domain\kevin.benson,zoom-meeting,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,367443005
example_domain\kevin.benson,crowdstrike,management,The application is allowed by security rule 'endpoint-edr-antivirus',irrelevant,274368944
example_domain\kevin.benson,ms-update,software-update,The application is allowed by security rule 'endpoint-software-updates',irrelevant,192235603
example_domain\kevin.benson,ms-teams,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,140203823
example_domain\kevin.benson,zoom-base,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,84259838
example_domain\kevin.benson,azure-log-analytics,general-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,69567462
example_domain\kevin.benson,smartsheet-base,social-business,The application is allowed provided the user is in the AD group 'managed-user',managed-user,66810445
example_domain\kevin.benson,microsoft-intune,it-management,The application is allowed by security rule 'endpoint-management-microsoft',irrelevant,33559051
example_domain\kevin.benson,ms-powerpoint-online,office-programs,The application is allowed by security rule 'm365-apps-non-edl',irrelevant,24781725
example_domain\kevin.benson,zoom-phone,internet-conferencing,The application is allowed provided the user is in the AD group 'managed-user',managed-user,21908876
example_domain\kevin.benson,google-base,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,13769055
example_domain\kevin.benson,boxnet-base,file-sharing,The application is blocked by security rule 'not-authorized-for-file-sharing',irrelevant,11655179
example_domain\kevin.benson,websocket,internet-utility,The application is allowed provided the user is in the AD group 'managed-user',managed-user,10269122
